"My billing and shipping address are the same","Meu endereço de cobrança e entrega são os mesmos"
"Cart Subtotal","Subtotal do Carrinho"
"1 Item in Cart","1 Item no Carrinho"
"%1 Items in Cart","%1 Itens no Carrinho"
"Item in Cart","Item no Carrinho"
"Items in Cart","Itens no Carrinho"
"Ship To:","Enviar Para:"
"Ship To","Enviar Para"
"Shipping Method:","Método de Entrega:"
"Check / Money order","Cheque / Ordem de Pagamento"
"Check / Money Order","Cheque / Ordem de Pagamento"
"Flat Rate","Taxa Fixa"
"Flat Rate - Fixed","Taxa Fixa - Fixo"
"Fixed","Fixo"
"VAT:","CPF/CNPJ:"
"VAT","CPF/CNPJ"
"Brazil","Brasil"
"United States","Estados Unidos"
"Argentina","Argentina"
"Chile","Chile"
"Colombia","Colômbia"
"Mexico","México"
"Portugal","Portugal"
"Spain","Espanha"
"France","França"
"Germany","Alemanha"
"Italy","Itália"
"United Kingdom","Reino Unido"
"China","China"
"Japan","Japão"
"Australia","Austrália"
"Canada","Canadá"
"Paraná","Paraná"
"São Paulo","São Paulo"
"Rio de Janeiro","Rio de Janeiro"
"Minas Gerais","Minas Gerais"
"Bahia","Bahia"
"Rio Grande do Sul","Rio Grande do Sul"
"Santa Catarina","Santa Catarina"
"Mato Grosso","Mato Grosso"
"Mato Grosso do Sul","Mato Grosso do Sul"
"Goiás","Goiás"
"Distrito Federal","Distrito Federal"
"Espírito Santo","Espírito Santo"
"Ceará","Ceará"
"Pernambuco","Pernambuco"
"Pará","Pará"
"Amazonas","Amazonas"
"Maranhão","Maranhão"
"Alagoas","Alagoas"
"Rio Grande do Norte","Rio Grande do Norte"
"Piauí","Piauí"
"Sergipe","Sergipe"
"Mato Grosso","Mato Grosso"
"Roraima","Roraima"
"Rondônia","Rondônia"
"Tocantins","Tocantins"
"Amapá","Amapá"
"Acre","Acre"
"Loading...","Carregando..."
Loading...,Carregando...
"Please wait...","Aguarde..."
"Save","Salvar"
"Cancel","Cancelar"
"Close","Fechar"
"Edit","Editar"
"Delete","Excluir"
"Remove","Remover"
"Update","Atualizar"
"Search","Buscar"
"Submit","Enviar"
"Apply","Aplicar"
"Reset","Redefinir"
"Continue","Continuar"
"Back","Voltar"
"Next","Próximo"
Next,Próximo
"Previous","Anterior"
Previous,Anterior
"Yes","Sim"
Yes,Sim
"No","Não"
No,Não
"None","Nenhum"
None,Nenhum
"All","Todos"
All,Todos
"Other","Outro"
"Required","Obrigatório"
"Optional","Opcional"
"From","De"
From,De
"To","Até"
To,Até
"Summary","Resumo"
Summary,Resumo
"Total","Total"
"Subtotal","Subtotal"
"Price","Preço"
"Quantity","Quantidade"
Quantity,Quantidade
"Home","Início"
Home,Início
"Page Not Found","Página Não Encontrada"
"Page not found.","Página não encontrada."
"Something went wrong. Please try again later.","Algo deu errado. Tente novamente mais tarde."
"An error occurred on the server. Please try to place the order again.","Ocorreu um erro no servidor. Tente realizar o pedido novamente."
"An unspecified error occurred. Please contact us for assistance.","Ocorreu um erro inesperado. Entre em contato conosco."
"Please enter a valid value.","Por favor, insira um valor válido."
"This is a required field.","Este campo é obrigatório."
"This field is required.","Este campo é obrigatório."
"Please enter a valid email address (Ex: johndoe@domain.com).","Por favor, insira um e-mail válido (Ex: joao@dominio.com.br)."
"Please enter a valid zip code.","Por favor, insira um CEP válido."
"Go to Home Page","Ir para a Página Inicial"
Status,Status
"Status","Status"
"Enabled","Habilitado"
Enabled,Habilitado
"Disabled","Desabilitado"
Disabled,Desabilitado
"Content","Conteúdo"
Content,Conteúdo
"Text","Texto"
Text,Texto
ID,ID
"Name","Nome"
"Email","E-mail"
"Phone","Telefone"
"Address","Endereço"
"City","Cidade"
City,Cidade
"Country","País"
Country,País
"State/Province","Estado"
"Zip/Postal Code","CEP"
"Company","Empresa"
"Comments","Comentários"
"Message","Mensagem"
"Date","Data"
"Actions","Ações"
"Action","Ação"
"Select","Selecionar"
"Choose...","Escolha..."
"-- Please Select --","-- Selecione --"
"Choose a selection...","Escolha uma opção..."
"Attention","Atenção"
"Error","Erro"
"Success","Sucesso"
"Warning","Aviso"
"Information","Informação"
"Notice","Aviso"
"Change","Alterar"
Change,Alterar
"Configure","Configurar"
Configure,Configurar
"View","Ver"
"Show","Mostrar"
Show,Mostrar
"Hide","Ocultar"
"Details","Detalhes"
"Description","Descrição"
Description,Descrição
"Settings","Configurações"
"Help","Ajuda"
"Contact","Contato"
"Print This Page","Imprimir Esta Página"
"Shop By","Filtrar Por"
Category,Categoria
"Sign In","Entrar"
"Sign Out","Sair"
"Create an Account","Criar uma Conta"
"My Account","Minha Conta"
"My Wish List","Minha Lista de Desejos"
"My Cart","Meu Carrinho"
"Cart","Carrinho"
"Checkout","Finalizar Compra"
"Search entire store here...","Buscar em toda a loja..."
"Search...","Buscar..."
"Search results for: '%1'","Resultados da busca por: '%1'"
"%1 search results","%1 resultados encontrados"
"1 search result","1 resultado encontrado"
"Menu","Menu"
"Navigation","Navegação"
"Skip to content","Ir para o conteúdo"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wish List","Adicionar à Lista de Desejos"
"Add to Compare","Comparar"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Remove Product","Remover Produto"
"Remove All","Remover Todos"
"Remove all Products","Remover Todos os Produtos"
"Product","Produto"
Product,Produto
"Products","Produtos"
"Product Info","Informações do Produto"
"Product Reviews","Avaliações do Produto"
"Product list","Lista de Produtos"
"In stock","Em estoque"
"In Stock","Em Estoque"
"Out of stock","Fora de estoque"
"Out of Stock","Fora de Estoque"
"Only %1 left","Apenas %1 restante(s)"
"Availability","Disponibilidade"
Availability,Disponibilidade
"As low as","A partir de"
"Starting at","A partir de"
"Incl. Tax","c/ Impostos"
"Excl. Tax","s/ Impostos"
"Final product price ","Preço final "
"The price depends on the chosen options","O preço depende das opções escolhidas"
"The price depends on the options chosen on the product page","O preço depende das opções escolhidas na página do produto"
"Configure %1 on the product page","Configure %1 na página do produto"
"Your Customization","Sua Personalização"
"Customize %1","Personalizar %1"
"Customizable Options","Opções Personalizáveis"
"%1 options","%1 opções"
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please select a file.","Por favor, selecione um arquivo."
"Compatible file extensions to upload","Extensões de arquivo aceitas para upload"
"Maximum image width","Largura máxima da imagem"
"Maximum image height","Altura máxima da imagem"
"Maximum %1 characters","Máximo de %1 caracteres"
px.,px.
"Sort By","Ordenar Por"
"Set Ascending Direction","Ordem Crescente"
"Set Descending Direction","Ordem Decrescente"
"Products view mode","Modo de visualização"
"Products view mode - %1","Modo de visualização - %1"
"Items %1-%2 of %3","Itens %1–%2 de %3"
"%1 Item","%1 Item"
"%1 Items","%1 Itens"
"Show items per page","Itens por página"
"View Product","Ver Produto"
"View more about %1","Ver mais sobre %1"
"Recently Viewed Products","Produtos Vistos Recentemente"
"Buy %1 for %2 each","Compre %1 por %2 cada"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Compre %1 por %2 cada e <strong class=""benefit"">economize<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 with %2 discount each","Compre %1 com %2 de desconto cada"
"Gallery","Galeria"
Gallery,Galeria
"Gallery modal fullscreen","Galeria em tela cheia"
"Gallery Thumbnails","Miniaturas da Galeria"
"Click to view image in fullscreen","Clique para ver em tela cheia"
"Play video","Reproduzir vídeo"
"Close fullscreen","Fechar tela cheia"
"%1 thumbnail","Miniatura %1"
"Review score","Pontuação da avaliação"
"We can't find products matching the selection.","Não encontramos produtos para esta seleção."
"%1 filter, 1 available product","Filtro %1, 1 produto disponível"
"%1 filter, %2 available products","Filtro %1, %2 produtos disponíveis"
"Please enter a valid price range.","Por favor, insira um intervalo de preço válido."
"Please enter a valid number range.","Por favor, insira um intervalo numérico válido."
"Please enter a valid date range.","Por favor, insira um intervalo de datas válido."
"Please enter a valid range.","Por favor, insira um intervalo válido."
"Could not add item to wishlist.","Não foi possível adicionar o item à lista de desejos."
"%1 has been added to your Wish List.","%1 foi adicionado à sua Lista de Desejos."
"Update Wish List","Atualizar Lista de Desejos"
"Update item","Atualizar item"
"You have no items in your wish list.","Você não tem itens na sua lista de desejos."
"You have no items to compare.","Você não tem itens para comparar."
"You removed product %1 from the comparison list","Você removeu o produto %1 da lista de comparação"
"You removed all products from the comparison list","Você removeu todos os produtos da lista de comparação"
"Could not remove item from compare.","Não foi possível remover o item da comparação."
"Could not remove all item from compare.","Não foi possível remover todos os itens da comparação."
"Are you sure you want to remove this item from your Compare Products list?","Tem certeza que deseja remover este item da lista de comparação?"
"Are you sure you want to remove all items from your Compare Products list?","Tem certeza que deseja remover todos os itens da lista de comparação?"
"Remove product ""%1"" from the comparison","Remover produto ""%1"" da comparação"
"Press to skip carousel","Pular carrossel"
"Shopping Cart","Carrinho de Compras"
"My Cart (1 item)","Meu Carrinho (1 item)"
"My Cart (%1 items)","Meu Carrinho (%1 itens)"
"You have no items in your shopping cart.","Você não tem itens no seu carrinho."
"You added %1 to your shopping cart.","Você adicionou %1 ao seu carrinho."
"We can't add this item to your shopping cart right now.","Não foi possível adicionar este item ao carrinho no momento."
"We can't update the shopping cart.","Não foi possível atualizar o carrinho."
"We can't update the item right now.","Não foi possível atualizar o item no momento."
"We can't remove the item.","Não foi possível remover o item."
"%1 was updated in your shopping cart.","%1 foi atualizado no seu carrinho."
"You used coupon code ""%1"".","Você utilizou o cupom ""%1""."
"The coupon code ""%1"" is not valid.","O cupom ""%1"" não é válido."
"You canceled the coupon code.","Você cancelou o cupom."
"We cannot apply the coupon code.","Não foi possível aplicar o cupom."
"Apply Discount Code","Aplicar Cupom de Desconto"
"Discount Code","Código de Desconto"
"Coupon Code","Código do Cupom"
"Discount","Desconto"
"Cancel Coupon","Cancelar Cupom"
"Proceed to Checkout","Finalizar Compra"
"Update Cart","Atualizar Carrinho"
"Clear All","Limpar Tudo"
"Continue Shopping","Continuar Comprando"
"Estimate Shipping","Estimar Frete"
"Estimate Shipping and Tax","Estimar Frete e Impostos"
"Order Summary","Resumo do Pedido"
"Item","Item"
"Tax","Imposto"
"Grand Total","Total Geral"
"Shipping","Frete"
"Free Shipping","Frete Grátis"
"Free","Grátis"
Checkout,Finalizar Compra
"One-page checkout is turned off.","Checkout de uma página está desabilitado."
"Guest checkout is disabled.","Compra como visitante está desabilitada."
"Payment Method","Método de Pagamento"
"Payment Page","Página de Pagamento"
"Shipping Method","Método de Entrega"
"Shipping Address","Endereço de Entrega"
"Billing Address","Endereço de Cobrança"
"Same as shipping address","Mesmo endereço de entrega"
"New Address","Novo Endereço"
"Ship Here","Entregar Aqui"
"Save in address book","Salvar no catálogo de endereços"
"Place Order","Fazer Pedido"
"Order Total","Total do Pedido"
"Review & Payments","Revisão e Pagamento"
"First Name","Nome"
"Last Name","Sobrenome"
"Street Address","Logradouro"
"Street Address: Line 2","Complemento"
"Telephone","Telefone"
"Postcode","CEP"
"Region","Estado"
"Email Address","E-mail"
"Password","Senha"
"Confirm Password","Confirmar Senha"
"I agree to the","Concordo com os"
"terms and conditions","termos e condições"
"Terms and Conditions","Termos e Condições"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","O pedido não foi realizado. Concorde com os termos e condições e tente novamente."
"Something went wrong while processing your order. Please try again later.","Algo deu errado ao processar seu pedido. Tente novamente mais tarde."
"Could not store billing/shipping information at the moment but you can proceed with the checkout","Não foi possível salvar as informações, mas você pode continuar"
"Incorrect CAPTCHA","CAPTCHA incorreto"
"Invalid form key. Please refresh the page.","Chave de formulário inválida. Atualize a página."
"Session has expired. Please log in again.","Sessão expirada. Faça login novamente."
"Your session has expired","Sua sessão expirou"
"Customer is already registered","Este e-mail já está cadastrado"
"A letter with further instructions will be sent to your email.","Um e-mail com instruções será enviado para você."
"Invalid Item Quantity Requested.","Quantidade de itens inválida."
"For delivery questions.","Para dúvidas sobre entrega."
"%1: Line %2","%1: Linha %2"
"Zip code is invalid","CEP inválido"
"Please enter a valid postcode","Por favor, insira um CEP válido"
"My Orders","Meus Pedidos"
"My Addresses","Meus Endereços"
"My Downloadable Products","Meus Produtos para Download"
"Newsletter Subscriptions","Assinaturas de Newsletter"
"Address Book","Catálogo de Endereços"
"Default Billing Address","Endereço de Cobrança Padrão"
"Default Shipping Address","Endereço de Entrega Padrão"
"You have no addresses in your address book.","Você não tem endereços salvos."
"Edit Address","Editar Endereço"
"Add New Address","Adicionar Novo Endereço"
"Delete Address","Excluir Endereço"
"Set as Default Billing Address","Definir como Endereço de Cobrança Padrão"
"Set as Default Shipping Address","Definir como Endereço de Entrega Padrão"
"Sign Up","Cadastrar-se"
"Login","Entrar"
"Log In","Entrar"
"Forgot Your Password?","Esqueceu sua senha?"
"Reset Password","Redefinir Senha"
"New Password","Nova Senha"
"Current Password","Senha Atual"
"Change Password","Alterar Senha"
